town.id,town.name,Grand List Year,Residential Net,Residential Ratio,Residential Equalized,Apartments Net,Apartments Ratio,Apartments Equalized,CIP Net,CIP Ratio,CIP Equalized,Vacant Net,Vacant Ratio,Vacant Equalized,Land Use Net,Land Use Ratio,Land Use Equalized,Ten Mill Net,Ten Mill Ratio,Ten Mill Equalized,Total Real Property,Total Real Property Equalized,Total Personal Property MVPP,Total Personal Property Ratio,Total Personal Property Equalized,Total Net Assessment,engl12
11,Bloomfield,2012,1105001810.00,77.32,1429128052.00,101411670.00,77.28,131226281.00,447390330.00,63.61,703333328.00,3617730.00,90.84,3982530.00,730810.00,70.00,1044014.00,0.00,100.00,0.00,1658152350.00,2268714205.00,373976337.00,70.00,534251910.00,2032128687.00,2802966115.00
12,Bolton,2012,390482180.00,79.92,488591316.00,0.00,77.69,0.00,23839860.00,77.69,30685880.00,7625680.00,71.59,10651879.00,11879490.00,70.00,16970700.00,0.00,100.00,0.00,433827210.00,546899775.00,47254092.00,70.00,67505846.00,481081302.00,614405621.00
13,Bozrah,2012,138422920.00,70.00,197747029.00,971750.00,70.00,1388214.00,31355560.00,70.00,44793657.00,6132340.00,70.00,8760486.00,2163930.00,70.00,3091329.00,0.00,100.00,0.00,179046500.00,255780714.00,36757310.00,70.00,52510443.00,215803810.00,308291157.00
14,Branford,2012,2615805340.00,70.56,3707207115.00,39369790.00,70.48,55859520.00,461077180.00,62.57,736898162.00,20313200.00,70.08,28985731.00,789400.00,70.00,1127714.00,0.00,100.00,0.00,3137354910.00,4530078242.00,350551377.00,70.00,500787681.00,3487906287.00,5030865923.00
15,Bridgeport,2012,4078634772.00,95.74,4260115701.00,323739324.00,63.79,507507954.00,1508442980.00,82.23,1834419287.00,83177475.00,110.30,75410222.00,0.00,70.00,0.00,0.00,100.00,0.00,5993994551.00,6677453165.00,1118827447.00,70.00,1598324924.00,7112821998.00,8275778089.00
16,Bridgewater,2012,339033452.00,74.34,456057912.00,0.00,74.34,0.00,4130200.00,74.34,5555825.00,19907500.00,74.34,26778988.00,3601070.00,70.00,5144386.00,0.00,100.00,0.00,366672222.00,493537111.00,20552732.00,70.00,29361046.00,387224954.00,522898157.00
17,Bristol,2012,2333081560.00,70.00,3332973657.00,132624110.00,70.00,189463014.00,675218041.00,70.00,964597201.00,33036400.00,70.00,47194857.00,4475560.00,70.00,6393657.00,0.00,100.00,0.00,3178435671.00,4540622387.00,602118476.00,70.00,860169251.00,3780554147.00,5400791639.00
18,Brookfield,2012,1554373880.00,70.43,2206976970.00,10703910.00,70.28,15230378.00,332594170.00,61.87,537569371.00,44420320.00,49.89,89036520.00,71920.00,70.00,102743.00,0.00,100.00,0.00,1942164200.00,2848915983.00,239890378.00,70.00,342700540.00,2182054578.00,3191616523.00
19,Brooklyn,2012,391126670.00,72.30,540977414.00,15334700.00,73.08,20983443.00,42409400.00,73.08,58031472.00,15367400.00,80.40,19113682.00,2309400.00,70.00,3299143.00,430.00,100.00,430.00,466548000.00,642405583.00,65592565.00,70.00,93703664.00,532140565.00,736109247.00
20,Burlington,2012,789734124.00,74.39,1061613287.00,344260.00,75.35,456881.00,16637080.00,75.35,22079735.00,23279440.00,91.63,25405915.00,21763540.00,70.00,31090771.00,0.00,100.00,0.00,851758444.00,1140646589.00,89775627.00,70.00,128250896.00,941534071.00,1268897485.00
21,Canaan,2012,104176720.00,70.00,148823886.00,0.00,70.00,0.00,15661350.00,70.00,22373357.00,12600.00,70.00,18000.00,31802200.00,70.00,45431714.00,0.00,100.00,0.00,151652870.00,216646957.00,18427695.00,70.00,26325279.00,170080565.00,242972236.00
22,Canterbury,2012,302695292.00,80.11,377849572.00,1653600.00,81.09,2039216.00,15408080.00,81.09,19001209.00,15964950.00,126.79,12591648.00,3850730.00,70.00,5501043.00,300.00,100.00,300.00,339572952.00,416982987.00,44073965.00,70.00,62962807.00,383646917.00,479945794.00
23,Canton,2012,866048040.00,74.97,1155192797.00,7844880.00,75.15,10438962.00,139513390.00,69.71,200133969.00,930810.00,86.07,1081457.00,1312020.00,70.00,1874314.00,0.00,100.00,0.00,1015649140.00,1368721500.00,120451510.00,70.00,172073586.00,1136100650.00,1540795085.00
24,Chaplin,2012,136451900.00,79.63,171357403.00,286600.00,80.31,356867.00,7955600.00,80.31,9906114.00,1634300.00,80.31,2034989.00,1045000.00,70.00,1492857.00,0.00,100.00,0.00,147373400.00,185148231.00,24620075.00,70.00,35171536.00,171993475.00,220319766.00
25,Cheshire,2012,2127197570.00,72.50,2934065614.00,12966510.00,72.81,17808694.00,383515788.00,76.49,501393369.00,20083510.00,86.27,23279831.00,531090.00,70.00,758700.00,0.00,100.00,0.00,2544294468.00,3477306207.00,337859491.00,70.00,482656416.00,2882153959.00,3959962623.00
26,Chester,2012,366692430.00,75.38,486458517.00,3245470.00,74.91,4332492.00,76832240.00,74.91,102566066.00,11585930.00,74.91,15466466.00,494000.00,70.00,705714.00,0.00,100.00,0.00,458850070.00,609529256.00,42515710.00,70.00,60736729.00,501365780.00,670265984.00
27,Clinton,2012,1166274745.00,69.81,1670641377.00,4395992.00,70.36,6247857.00,163766703.00,70.36,232755405.00,16928670.00,80.89,20928013.00,277170.00,70.00,395957.00,0.00,100.00,0.00,1351643280.00,1930968609.00,148532182.00,70.00,212188831.00,1500175462.00,2143157440.00
28,Colchester,2012,874904844.00,70.34,1243822639.00,20882700.00,70.99,29416397.00,98719300.00,58.64,168348056.00,34360700.00,88.40,38869570.00,956460.00,70.00,1366371.00,7560.00,100.00,7560.00,1029831564.00,1481830593.00,161949360.00,70.00,231356229.00,1191780924.00,1713186821.00
29,Colebrook,2012,146601450.00,79.36,184729650.00,0.00,82.75,0.00,13376100.00,82.75,16164471.00,886200.00,188.00,471383.00,1224890.00,70.00,1749843.00,16200.00,100.00,16200.00,162104840.00,203131547.00,23042190.00,70.00,32917414.00,185147030.00,236048961.00
30,Columbia,2012,378248350.00,67.94,556738814.00,532600.00,68.81,774015.00,21480430.00,68.81,31217018.00,9380471.00,90.00,10422746.00,1047510.00,70.00,1496443.00,1530.00,100.00,1530.00,410690891.00,600650565.00,53440163.00,70.00,76343090.00,464131054.00,676993655.00
31,Cornwall,2012,268971730.00,80.04,336046639.00,0.00,83.54,0.00,9886700.00,83.54,11834690.00,19229700.00,83.54,23018554.00,72817500.00,70.00,104025000.00,67700.00,100.00,67700.00,370973330.00,474992583.00,22101070.00,70.00,31572957.00,393074400.00,506565540.00
32,Coventry,2012,845092800.00,73.97,1142480465.00,55200.00,73.64,74959.00,35489400.00,73.64,48193102.00,0.00,71.36,0.00,1681800.00,70.00,2402571.00,0.00,100.00,0.00,882319200.00,1193151097.00,112038205.00,70.00,160054579.00,994357405.00,1353205676.00
33,Cromwell,2012,840389461.00,70.00,1200556373.00,1332340.00,70.00,1903343.00,218765093.00,70.00,312521561.00,9607870.00,70.00,13725529.00,1390390.00,70.00,1986271.00,0.00,100.00,0.00,1071485154.00,1530693077.00,184631489.00,70.00,263759270.00,1256116643.00,1794452347.00
34,Danbury,2012,3848783515.00,70.00,5498262164.00,251102200.00,70.00,358717429.00,1713013100.00,70.00,2447161571.00,159662700.00,70.00,228089571.00,85300.00,70.00,121857.00,255200.00,100.00,255200.00,5972902015.00,8532607793.00,855287977.00,70.00,1221839967.00,6828189992.00,9754447760.00
35,Darien,2012,7655898320.00,71.26,10743612574.00,37886310.00,71.31,53129028.00,649624480.00,68.65,946284749.00,157234280.00,105.16,149519095.00,0.00,70.00,0.00,0.00,100.00,0.00,8500643390.00,11892545445.00,391198900.00,70.00,558855571.00,8891842290.00,12451401017.00
36,Deep River,2012,381032740.00,72.15,528111906.00,2779210.00,73.16,3798811.00,44260580.00,73.16,60498332.00,10227870.00,100.80,10146696.00,227750.00,70.00,325357.00,0.00,100.00,0.00,438528150.00,602881103.00,49905053.00,70.00,71292933.00,488433203.00,674174035.00
37,Derby,2012,498659350.00,80.77,617381887.00,17679550.00,80.77,21888758.00,114177320.00,80.77,141361050.00,11363490.00,80.77,14068949.00,442680.00,70.00,632400.00,0.00,100.00,0.00,642322390.00,795333044.00,103695602.00,70.00,148136574.00,746017992.00,943469618.00
38,Durham,2012,497699384.00,74.36,669310629.00,1617280.00,74.57,2168808.00,37097340.00,74.57,49748344.00,13016884.00,74.57,17455926.00,97229230.00,70.00,138898900.00,0.00,100.00,0.00,646660118.00,877582607.00,91873842.00,70.00,131248346.00,738533960.00,1008830953.00
39,Eastford,2012,127885520.00,76.50,167170614.00,0.00,76.50,0.00,10271665.00,76.50,13427013.00,4540470.00,76.50,5935255.00,1537510.00,70.00,2196443.00,0.00,100.00,0.00,144235165.00,188729325.00,20277383.00,70.00,28967690.00,164512548.00,217697015.00
40,East Granby,2012,371217730.00,74.55,497944641.00,0.00,74.55,0.00,95504310.00,74.55,128107726.00,0.00,74.55,0.00,20944800.00,70.00,29921143.00,0.00,100.00,0.00,487666840.00,655973510.00,103689866.00,70.00,148128380.00,591356706.00,804101890.00
41,East Haddam,2012,690844588.00,70.00,986920840.00,3240440.00,70.00,4629200.00,38688060.00,70.00,55268657.00,22103960.00,70.00,31577086.00,3474910.00,70.00,4964157.00,0.00,100.00,0.00,758351958.00,1083359940.00,86134237.00,70.00,123048910.00,844486195.00,1206408850.00
42,East Hampton,2012,907683920.00,72.89,1245279078.00,2123006.00,72.71,2919827.00,60877124.00,72.71,83725930.00,34081404.00,71.76,47493595.00,841461.00,70.00,1202087.00,0.00,100.00,0.00,1005606915.00,1380620518.00,122428258.00,70.00,174897511.00,1128035173.00,1555518029.00
43,East Hartford,2012,1456995626.00,69.69,2090681053.00,107505660.00,69.48,154728929.00,615117804.00,63.98,961422013.00,25407735.00,69.48,36568415.00,344350.00,70.00,491929.00,0.00,100.00,0.00,2205371175.00,3243892340.00,485109953.00,70.00,693014219.00,2690481128.00,3936906558.00
44,East Haven,2012,1416635960.00,76.39,1854478283.00,7100830.00,76.42,9291848.00,313067210.00,82.64,378832539.00,29597980.00,84.31,35106132.00,168550.00,70.00,240786.00,0.00,100.00,0.00,1766570530.00,2277949587.00,210440541.00,70.00,300629344.00,1977011071.00,2578578931.00
45,East Lyme,2012,1665549261.00,69.78,2386857640.00,29720262.00,69.85,42548693.00,137223216.00,66.36,206786040.00,49402170.00,90.89,54353801.00,798460.00,70.00,1140657.00,2170.00,100.00,2170.00,1882695539.00,2691689001.00,168561669.00,70.00,240802384.00,2051257208.00,2932491385.00
46,Easton,2012,1189806990.00,71.45,1665230217.00,0.00,71.61,0.00,34391920.00,71.61,48026700.00,8520260.00,88.97,9576554.00,933100.00,70.00,1333000.00,0.00,100.00,0.00,1233652270.00,1724166471.00,90285483.00,70.00,128979261.00,1323937753.00,1853145732.00
47,East Windsor,2012,494781398.00,70.00,706830569.00,38580960.00,70.00,55115657.00,241397550.00,70.00,344853643.00,5652042.00,70.00,8074346.00,3304820.00,70.00,4721171.00,0.00,100.00,0.00,783716770.00,1119595386.00,147912492.00,70.00,211303560.00,931629262.00,1330898946.00
48,Ellington,2012,953510216.00,71.27,1337884406.00,59866795.00,71.25,84023572.00,91946330.00,71.25,129047481.00,3247630.00,62.14,5226312.00,5903520.00,70.00,8433600.00,0.00,100.00,0.00,1114474491.00,1564615370.00,157534446.00,70.00,225049209.00,1272008937.00,1789664579.00
49,Enfield,2012,1787129850.00,70.19,2546131714.00,53506370.00,70.17,76252487.00,545805291.00,68.27,799480432.00,27467390.00,67.40,40752804.00,6005920.00,70.00,8579886.00,0.00,100.00,0.00,2419914821.00,3471197323.00,427130096.00,70.00,610185851.00,2847044917.00,4081383174.00
50,Essex,2012,875267470.00,76.11,1150003245.00,0.00,75.73,0.00,156415770.00,71.75,218001073.00,0.00,76.84,0.00,529700.00,70.00,756714.00,54500.00,100.00,54500.00,1032267440.00,1368815533.00,87533856.00,70.00,125048366.00,1119801296.00,1493863898.00
51,Fairfield,2012,8925311995.00,68.79,12974723063.00,6511610.00,68.78,9467302.00,1127713893.00,57.61,1957496777.00,96618490.00,66.45,145400286.00,1973380.00,70.00,2819114.00,0.00,100.00,0.00,10158129368.00,15089906541.00,739029893.00,70.00,1055756990.00,10897159261.00,16145663531.00
52,Farmington,2012,2220649300.00,70.00,3172356143.00,0.00,70.00,0.00,845688230.00,70.00,1208126043.00,8706600.00,70.00,12438000.00,320170.00,70.00,457386.00,0.00,100.00,0.00,3075364300.00,4393377571.00,400070840.00,70.00,571529771.00,3475435140.00,4964907343.00
53,Franklin,2012,129145980.00,77.94,165699230.00,1170970.00,77.94,1502399.00,38083356.00,77.94,48862402.00,12349330.00,91.26,13532029.00,1922810.00,70.00,2746871.00,0.00,100.00,0.00,182672446.00,232342932.00,32432889.00,70.00,46332699.00,215105335.00,278675631.00
54,Glastonbury,2012,2775267720.00,70.00,3964668171.00,26720170.00,70.00,38171671.00,553015820.00,70.00,790022600.00,40504000.00,70.00,57862857.00,2108960.00,70.00,3012800.00,0.00,100.00,0.00,3397616670.00,4853738100.00,411439938.00,70.00,587771340.00,3809056608.00,5441509440.00
55,Goshen,2012,422469720.00,70.00,603528171.00,176400.00,70.00,252000.00,19902600.00,70.00,28432286.00,33634630.00,70.00,48049471.00,3319640.00,70.00,4742343.00,0.00,100.00,0.00,479502990.00,685004271.00,38648180.00,70.00,55211686.00,518151170.00,740215957.00
56,Granby,2012,721498680.00,70.00,1030712400.00,4279310.00,70.00,6113300.00,41258770.00,70.00,58941100.00,10515680.00,70.00,15022400.00,71321210.00,70.00,101887443.00,0.00,100.00,0.00,848873650.00,1212676643.00,105291630.00,70.00,150416614.00,954165280.00,1363093257.00
57,Greenwich,2012,24254109260.00,67.16,36113920876.00,335906620.00,67.20,499861042.00,4267223450.00,69.24,6162945479.00,583022860.00,66.52,876462508.00,6967100.00,70.00,9953000.00,0.00,100.00,0.00,29447229290.00,43663142904.00,1380656320.00,70.00,1972366171.00,30827885610.00,45635509076.00
58,Griswold,2012,534308478.00,72.86,733335819.00,8956533.00,73.61,12167549.00,42933294.00,73.61,58325355.00,19406470.00,76.77,25278716.00,1452380.00,70.00,2074829.00,0.00,100.00,0.00,607057155.00,831182268.00,89044021.00,70.00,127205744.00,696101176.00,958388012.00
59,Groton,2012,2205866200.00,71.69,3076951039.00,158376120.00,71.69,220918008.00,967452895.00,71.09,1360884646.00,70094580.00,73.36,95548773.00,8710550.00,70.00,12443643.00,12170.00,100.00,12170.00,3410512515.00,4766758280.00,480793049.00,70.00,686847213.00,3891305564.00,5453605492.00
60,Guilford,2012,2984081829.00,79.91,3734303378.00,5133250.00,80.50,6376708.00,237565040.00,83.52,284440900.00,24184140.00,85.56,28265708.00,1468940.00,70.00,2098486.00,0.00,100.00,0.00,3252433199.00,4055485180.00,242180595.00,70.00,345972279.00,3494613794.00,4401457459.00
61,Haddam,2012,690564332.00,75.31,916962332.00,682810.00,75.53,904025.00,52523430.00,75.53,69539825.00,30154700.00,102.89,29307707.00,3250510.00,70.00,4643586.00,6770.00,100.00,6770.00,777182552.00,1021364245.00,122986905.00,70.00,175695579.00,900169457.00,1197059823.00
62,Hamden,2012,2823059276.00,74.65,3781727094.00,259638890.00,74.65,347808292.00,524851050.00,72.08,728150735.00,8321880.00,74.65,11147863.00,614560.00,70.00,877943.00,0.00,100.00,0.00,3616485656.00,4869711928.00,450396565.00,70.00,643423664.00,4066882221.00,5513135592.00
63,Hampton,2012,128990870.00,84.83,152058081.00,0.00,84.95,0.00,2048460.00,84.95,2411371.00,5091000.00,84.95,5992937.00,2345420.00,70.00,3350600.00,2890.00,100.00,2890.00,138478640.00,163815879.00,17256502.00,70.00,24652146.00,155735142.00,188468025.00
64,Hartford,2012,718351331.00,29.20,2460107298.00,461453223.00,55.00,839005860.00,1276431523.00,64.87,1967676157.00,79994750.00,30.18,265058814.00,15540.00,70.00,22200.00,0.00,100.00,0.00,2536246367.00,5531870329.00,949496435.00,70.00,1356423479.00,3485742802.00,6888293807.00
65,Hartland,2012,150181240.00,67.38,222886969.00,0.00,67.34,0.00,17414100.00,67.34,25859964.00,4721200.00,67.34,7010989.00,250110.00,70.00,357300.00,0.00,100.00,0.00,172566650.00,256115223.00,22589895.00,70.00,32271279.00,195156545.00,288386501.00
66,Harwinton,2012,448402353.00,74.98,598029278.00,0.00,74.61,0.00,13118690.00,74.61,17583018.00,36465940.00,74.61,48875405.00,888220.00,70.00,1268886.00,0.00,100.00,0.00,498875203.00,665756588.00,65988028.00,70.00,94268611.00,564863231.00,760025199.00
67,Hebron,2012,648481490.00,71.38,908491860.00,3016650.00,71.50,4219091.00,21595630.00,71.50,30203678.00,14657360.00,90.84,16135359.00,949310.00,70.00,1356157.00,7650.00,100.00,7650.00,688708090.00,960413796.00,84352065.00,70.00,120502950.00,773060155.00,1080916746.00
68,Kent,2012,535195800.00,98.97,540765687.00,218600.00,98.97,220875.00,44975860.00,98.97,45443933.00,48494900.00,90.11,53817445.00,4754600.00,70.00,6792286.00,0.00,100.00,0.00,633639760.00,647040225.00,38380615.00,70.00,54829450.00,672020375.00,701869675.00
69,Killingly,2012,800123897.00,87.09,918732228.00,35044800.00,87.81,39909805.00,227191150.00,87.81,258730384.00,40008680.00,118.62,33728444.00,20759580.00,70.00,29656543.00,0.00,100.00,0.00,1123128107.00,1280757403.00,221750018.00,70.00,316785740.00,1344878125.00,1597543143.00
70,Killingworth,2012,620196585.00,73.82,840147094.00,62480.00,73.98,84455.00,21533890.00,73.98,29107718.00,7297900.00,88.34,8261150.00,1082120.00,70.00,1545886.00,0.00,100.00,0.00,650172975.00,879146304.00,63921870.00,70.00,91316957.00,714094845.00,970463261.00
71,Lebanon,2012,546167690.00,81.76,668013319.00,1225250.00,82.50,1485152.00,19803480.00,82.50,24004218.00,14873750.00,94.94,15666474.00,4672040.00,70.00,6674343.00,1300.00,100.00,1300.00,586743510.00,715844806.00,89199749.00,70.00,127428213.00,675943259.00,843273018.00
72,Ledyard,2012,872801194.00,76.47,1141364187.00,8445500.00,76.43,11049980.00,58223339.00,67.99,85635151.00,31417750.00,68.67,45751784.00,983870.00,70.00,1405529.00,17500.00,100.00,17500.00,971889153.00,1285224131.00,136907821.00,70.00,195582601.00,1108796974.00,1480806732.00
73,Lisbon,2012,220635275.00,66.54,331582920.00,799830.00,68.93,1160351.00,83405840.00,68.93,121000783.00,14398710.00,76.19,18898425.00,619850.00,70.00,885500.00,0.00,100.00,0.00,319859505.00,473527980.00,64210126.00,70.00,91728751.00,384069631.00,565256731.00
74,Litchfield,2012,864145790.00,78.96,1094409562.00,5804450.00,78.58,7386676.00,105617860.00,87.23,121079743.00,26755570.00,60.29,44378122.00,5962220.00,70.00,8517457.00,60380.00,100.00,60380.00,1008346270.00,1275831941.00,101988250.00,70.00,145697500.00,1110334520.00,1421529441.00
75,Lyme,2012,550396391.00,86.98,632784998.00,0.00,85.66,0.00,5301800.00,85.66,6189353.00,23654000.00,71.67,33004046.00,1863380.00,70.00,2661971.00,0.00,100.00,0.00,581215571.00,674640369.00,27351813.00,70.00,39074019.00,608567384.00,713714387.00
76,Madison,2012,3037364968.00,80.82,3758184816.00,4044400.00,80.56,5020358.00,172327080.00,69.61,247560810.00,38935200.00,84.53,46060807.00,1810430.00,70.00,2586329.00,0.00,100.00,0.00,3254482078.00,4059413119.00,204539846.00,70.00,292199780.00,3459021924.00,4351612899.00
77,Manchester,2012,2121796910.00,71.84,2953503494.00,301566400.00,72.00,418842222.00,877376274.00,71.21,1232097000.00,0.00,122.36,0.00,666360.00,70.00,951943.00,0.00,100.00,0.00,3301405944.00,4605394659.00,609904200.00,70.00,871291714.00,3911310144.00,5476686374.00
78,Mansfield,2012,740446160.00,74.54,993354119.00,37197790.00,73.95,50301271.00,115645390.00,73.95,156383218.00,5790120.00,71.25,8126484.00,1288910.00,70.00,1841300.00,1750.00,100.00,1750.00,900370120.00,1210008142.00,111682593.00,70.00,159546561.00,1012052713.00,1369554704.00
79,Marlborough,2012,478049930.00,69.35,689329387.00,0.00,67.51,0.00,29360890.00,67.51,43491172.00,0.00,63.76,0.00,712310.00,70.00,1017586.00,58060.00,100.00,58060.00,508181190.00,733896205.00,59687815.00,70.00,85268307.00,567869005.00,819164512.00
80,Meriden,2012,1992543244.00,70.89,2810753624.00,104531560.00,70.97,147289784.00,620481087.00,106.12,584697594.00,10345216.00,74.15,13951741.00,335501.00,70.00,479287.00,0.00,100.00,0.00,2728236608.00,3557172031.00,494730338.00,70.00,706757626.00,3222966946.00,4263929657.00
81,Middlebury,2012,673655500.00,68.42,984588571.00,0.00,68.54,0.00,107930140.00,68.54,157470295.00,37183390.00,91.48,40646469.00,372550.00,70.00,532214.00,0.00,100.00,0.00,819141580.00,1183237549.00,108535434.00,70.00,155050620.00,927677014.00,1338288169.00
82,Middlefield,2012,315178900.00,75.14,419455550.00,925300.00,73.90,1252097.00,34275700.00,73.90,46381191.00,259700.00,63.33,410074.00,1323600.00,70.00,1890857.00,0.00,100.00,0.00,351963200.00,469389769.00,51848580.00,70.00,74069400.00,403811780.00,543459169.00
83,Middletown,2012,2062942550.00,81.24,2539318747.00,242014110.00,66.67,363003015.00,515156178.00,77.33,666178945.00,98526055.00,97.15,101416423.00,3284240.00,70.00,4691771.00,6700.00,100.00,6700.00,2921929833.00,3674615601.00,653489296.00,70.00,933556137.00,3575419129.00,4608171738.00
84,Milford,2012,4272209213.00,70.02,6101412758.00,119089180.00,69.94,170273349.00,1288448680.00,61.56,2092996556.00,68597510.00,84.35,81324849.00,255110.00,70.00,364443.00,0.00,100.00,0.00,5748599693.00,8446371954.00,698063853.00,70.00,997234076.00,6446663546.00,9443606030.00
85,Monroe,2012,1783526162.00,75.11,2374552206.00,861210.00,75.04,1147668.00,235887700.00,55.60,424258453.00,49696734.00,75.04,66226991.00,8407104.00,70.00,12010149.00,0.00,100.00,0.00,2078378910.00,2878195467.00,230197412.00,70.00,328853446.00,2308576322.00,3207048912.00
86,Montville,2012,854643890.00,69.96,1221617910.00,12549980.00,69.54,18047138.00,166997580.00,69.54,240146074.00,1290410.00,80.58,1601402.00,1346890.00,70.00,1924129.00,0.00,100.00,0.00,1036828750.00,1483336654.00,205526571.00,70.00,293609387.00,1242355321.00,1776946041.00
87,Morris,2012,294330870.00,76.59,384294125.00,0.00,76.59,0.00,13284030.00,76.59,17344340.00,19869000.00,76.59,25942029.00,1390920.00,70.00,1987029.00,0.00,100.00,0.00,328874820.00,429567522.00,24776988.00,70.00,35395697.00,353651808.00,464963219.00
88,Naugatuck,2012,1067881930.00,70.00,1525545614.00,42623140.00,70.00,60890200.00,196101060.00,70.00,280144371.00,18003430.00,70.00,25719186.00,1883930.00,70.00,2691329.00,0.00,100.00,0.00,1326493490.00,1894990700.00,251404489.00,70.00,359149270.00,1577897979.00,2254139970.00
89,New Britain,2012,1436965707.00,70.00,2052808153.00,225303250.00,70.00,321861786.00,364170241.00,70.00,520243201.00,11097240.00,70.00,15853200.00,615670.00,70.00,879529.00,0.00,100.00,0.00,2038152108.00,2911645869.00,410793633.00,70.00,586848047.00,2448945741.00,3498493916.00
90,New Canaan,2012,7443401044.00,73.07,10186671745.00,44704321.00,72.92,61305981.00,370098121.00,72.92,507539936.00,125925100.00,69.26,181815045.00,1796750.00,70.00,2566786.00,0.00,100.00,0.00,7985925336.00,10939899491.00,313529702.00,70.00,447899574.00,8299455038.00,11387799066.00
91,New Fairfield,2012,1512496143.00,75.99,1990388397.00,0.00,75.80,0.00,45528600.00,72.10,63146463.00,0.00,82.01,0.00,66700.00,70.00,95286.00,285000.00,100.00,285000.00,1558376443.00,2053915146.00,129457543.00,70.00,184939347.00,1687833986.00,2238854493.00
92,New Hartford,2012,568442599.00,76.67,741414633.00,69090.00,76.92,89821.00,36456980.00,76.92,47395970.00,17324790.00,101.27,17107524.00,17203775.00,70.00,24576821.00,0.00,100.00,0.00,639497234.00,830584769.00,75912077.00,70.00,108445824.00,715409311.00,939030593.00
93,New Haven,2012,2769958367.00,65.54,4226363087.00,0.00,67.50,0.00,2346839918.00,63.47,3697557772.00,40436410.00,63.73,63449568.00,3280.00,70.00,4686.00,0.00,100.00,0.00,5157237975.00,7987375113.00,939922799.00,70.00,1342746856.00,6097160774.00,9330121969.00
94,Newington,2012,1617163957.00,68.93,2346095977.00,62071957.00,68.93,90050714.00,485981341.00,71.15,683037725.00,23638100.00,68.93,34292906.00,75805.00,70.00,108293.00,0.00,100.00,0.00,2188931160.00,3153585614.00,348772866.00,70.00,498246951.00,2537704026.00,3651832566.00
